ID,Study,Study design,LOE,N,M/F,Male,Female,Age (years),Age,SD,Follow-up,IKDC subjective,IKDC objective,Lachman,Lysholm,Tegner,Q-LSI,Q-LSI isometric,Q-LSI isokinetic 60,Q-LSI isokinetic 90,Q-LSI isokinetic 180,Q-LSI isokinetic 240,H-LSI,H-LSI isometric,H-LSI isokinetic 60,H-LSI isokinetic 90,H-LSI isokinetic 180,H-LSI isokinetic 240,Marx,KOOS,KOOS ADL,KOOS pain,KOOS sport,KOOS symptoms,KOOS QoL,Pivot shift,Instrumental laxity,VAS,Graft rupture,Donor site morbidity,Arthrofibrosis,SLHT,Patellar fracture
32,"Hunnicutt et al., 2021",Prospective cohort study,II,320,156/164,156,164,18.1 ± 3.1,18.1,3.1,6,,,✓,,,✓,,✓,,,,✓,,✓,,,,,,,,,,,,✓,,✓,,✓,,
33,"Iriuchishima et al., 2017",Case-control study,III,20,2/18,2,18,49 ± 8,49.0,8,12,,✓,,,,✓,✓,,,,,✓,✓,,,,,,,,,,,,✓,✓,,,✓,,,
34,"Irrgang et al., 2021",Randomized controlled trial,II,57,38/19,38,19,21.7 ± 7.3,21.7,7.3,24,✓,,✓,,,,,,,,,,,,,,,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,✓
35,"Jacquet et al., 2021",Retrospective comparative study,III,91,65/26,65,26,29.9 ± 8,29.9,8,37.3,,,,✓,,,,,,,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,,
36,"Johnston et al., 2021",Retrospective comparative study,III,37,29/8,29,8,21 ± 4.5,21.0,4.5,6,✓,,,,,✓,,✓,,✓,,✓,,✓,,✓,,✓,,,,,,✓,,✓,✓,,✓,,✓,
37,"Johnston et al., 2022",Retrospective comparative study,III,35,28/7,28,7,20 ± 6.2,20.0,6.2,12,✓,,,,,✓,,✓,,✓,,✓,,✓,,✓,,✓,,,,,,✓,,✓,✓,,✓,,✓,
38,"Kaarre et al., 2023",Retrospective comparative study,III,79,44/35,17,19,22.8 ± 7.5,22.8,7.5,9,,,,,,✓,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,
39,"Karpinski et al., 2021",Prospective comparative study,II,25,16/9,16,9,31.7 ± 15.2,31.7,15.2,24,,,,✓,,,,,,,,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,,
40,"Kim et al., 2009c",Retrospective comparative study,III,29,11/18,11,18,25.3 ± 5.1,25.3,5.1,24,,,✓,✓,,,,,,,,,,,,,,,,,,,,,✓,✓,,,✓,,,
41,"Kim et al., 2009d",Retrospective comparative study,III,59,46/13,46,13,25.9 ± 8.2,25.9,8.2,24,,✓,✓,✓,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,,,
42,"Kim et al., 2014",Prospective comparative study,II,142,117/25,117,25,29.8 ± 10.7,29.8,10.7,24,✓,✓,✓,✓,,,,,,,,,,,,,,,,,,,,,✓,✓,,,,,,
43,"Kim et al., 2018",Retrospective comparative study,III,75,63/12,63,12,28.4 ± 10.5,28.4,10.5,17.9,✓,,✓,✓,✓,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,✓,,
44,"Komzák et al., 2022",Randomized controlled trial,II,40,21/19,21,19,29.8 ± 7.4,29.8,7.4,28,✓,,,✓,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,
